=== Shot zones ===
compute_shot_zone_breakdown: player 1630173 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203500 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1628389 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630534 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630583 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1641725 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642277 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629655 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629636 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630568 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642933 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1628983 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630264 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203932 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 201569 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203924 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1631260 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203110 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630224 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1629750 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 201145 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630182 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1629656 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1631338 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631243 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629060 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630169 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641790 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203501 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201935 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630702 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641989 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642844 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631199 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203914 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 202699 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628404 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628392 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630573 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641722 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629637 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630165 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628502 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630703 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641707 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642935 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629639 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629312 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642396 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628988 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201950 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641842 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641747 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631096 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201143 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631216 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641724 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628989 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630643 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630574 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629631 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1643047 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630538 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642345 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 204060 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627742 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631127 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628371 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631093 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641713 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630543 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631245 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641748 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628991 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631218 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642857 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642355 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 2544 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642883 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631170 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630610 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629610 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641998 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642450 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629660 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630198 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642358 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629661 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1643052 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630552 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629640 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642352 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642848 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203999 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641732 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642938 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641794 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630529 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642403 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642880 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642461 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630200 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1626145 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642357 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627884 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201599 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631107 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630548 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641750 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642530 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631211 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642939 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628379 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1643257 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631117 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630557 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628467 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641752 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642261 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642851 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642278 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631132 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629723 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628436 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630249 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630228 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628398 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631222 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203897 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627746 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629111 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642404 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641796 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630639 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627747 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 202695 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642502 failed: Expecting value: line 1 column 1 (char 0)
